year,all_institutions
1963-64 ,1248
1968-69 ,1459
1969-70 ,1560
1970-71 ,1653
1971-72 ,1730
1972-73 ,1834
1973-74 ,1903
1974-75 ,1983
1975-76 ,2103
1976-77 ,2275
1977-78 ,2411
1978-79 ,2587
1979-80 ,2809
1980-81 ,3101
1981-82 ,3489
1982-83 ,3877
1983-84 ,4167
1984-85 ,4563
1985-86\5\ ,4885
1986-87 ,5206
1987-88 ,5494
1988-89 ,5869
1989-90 ,6207
1990-91 ,6562
1991-92 ,7077
1992-93 ,7452
1993-94 ,7931
1994-95 ,8306
1995-96 ,8800
1996-97 ,9206
1997-98 ,9588
1998-99 ,10076
1999-2000 ,10430
2000-01 ,10820
2001-02 ,11380
2002-03 ,12014
2003-04 ,12953
2004-05 ,13793
2005-06 ,14634
2006-07 ,15486
2007-08 ,16227
2008-09 ,17045
2009-10 ,17650
2010-11 ,18475
2011-12 ,19401
2012-13 ,20233
2013-14 ,20995
2014-15 ,21729
2015-16 ,22439
2016-17 ,23091
2017-18 ,23833
2018-19 ,24619
2019-20,25280
2020-21,25906
2021-22,26858
2022-23,27673
